Probe Name,Class Name,,Avg Count,Min Count,Max Count,%CV,,20230616_210462891024_K1241-B_02.RCC,20230616_210462891024_K1628-B_03.RCC,20230616_210462891024_K1865-B_04.RCC,20230616_210462891024_K2032-B_05.RCC,20230616_210462891024_K2068-B_06.RCC,20230616_210462891024_K2323-B_07.RCC,20230616_210462891024_K2360-B_08.RCC,20230616_210462891024_K2520-B_09.RCC,20230616_210462891024_K2669-B_10.RCC,20230616_210462891024_K2742-B_11.RCC,20230616_210462891024_K2849-B_12.RCC,20230616_210462891024_K853-B_01.RCC,20230707_210462871024_K1241-Tx_09.RCC,20230707_210462871024_K1628-Tx_10.RCC,20230707_210462871024_K2032-Tx_11.RCC,20230707_210462871024_K2360-Tx_12.RCC,20230707_210462871024_K4106-B_01.RCC,20230707_210462871024_K4196-B_02.RCC,20230707_210462871024_K4258-B_03.RCC,20230707_210462871024_K4307-B_04.RCC,20230707_210462871024_K4360-B_05.RCC,20230707_210462871024_K4368-B_06.RCC,20230707_210462871024_K5046-B_07.RCC,20230707_210462871024_K853-Tx_08.RCC,20230707_210462881024_K2894-B_01.RCC,20230707_210462881024_K2917-B_02.RCC,20230707_210462881024_K3056-B_03.RCC,20230707_210462881024_K3566-B_04.RCC,20230707_210462881024_K3812-B_05.RCC,20230707_210462881024_K3953-B_06.RCC,20230707_210462881024_K3975-B_07.RCC,20230707_210462881024_K4010-B_08.RCC,20230707_210462881024_K4020-B_09.RCC,20230707_210462881024_K4023-B_10.RCC,20230707_210462881024_K4054-B_11.RCC,20230707_210462881024_K4093-B_12.RCC,20230707_210462901024_K2742-Tx_01.RCC,20230707_210462901024_K2849-Tx_02.RCC,20230707_210462901024_K2894-Tx_03.RCC,20230707_210462901024_K2917-Tx_04.RCC,20230707_210462901024_K3056-Tx_05.RCC,20230707_210462901024_K3566-Tx_06.RCC,20230707_210462901024_K3953-Tx_07.RCC,20230707_210462901024_K3975-Tx_08.RCC,20230707_210462901024_K4106-Tx_09.RCC,20230707_210462901024_K4258-Tx_10.RCC,20230707_210462901024_K4360-Tx_11.RCC,20230707_210462901024_K4368-Tx_12.RCC
,,,,,,,,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Treatment,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Treatment,Osteosarcoma : Treatment,Osteosarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Osteosarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Osteosarcoma : Treatment,Osteosarcoma : Treatment,Osteosarcoma : Treatment,Osteosarcoma : Treatment,Soft Tissue Sarcoma : Treatment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATF2,Endogenous,,478.37,138.24,739.24,29.03,,138.24,280.19,477.44,510.82,480.26,435.85,723.89,603.84,739.24,700.14,631.92,530.7,478.52,338.6,358.18,627.33,528.52,511.1,440.41,698.49,430.63,444.97,537.46,430.16,355.19,256.82,508.6,451.96,585.87,200.15,558.43,519,333.87,349.74,516.92,483.42,712.4,621.09,451.4,335.83,559.11,491.89,253.64,449.76,563.18,436.33,298.87,591.33
ATG10,Endogenous,,119.46,51.98,201.07,33.25,,184.32,201.07,163.34,141.21,190.71,104.49,88.22,174.47,152.17,111.42,178.81,60.22,55.77,78.4,142.39,73.23,90.4,81.65,128.84,143.54,97.75,75.01,106.9,71.69,135.19,150.14,178.58,135.96,155.83,81.97,135.79,143.27,81.85,101.59,117.56,72.92,101.49,130.19,131.05,164.86,181.14,105.4,98.18,74.96,90.61,115.39,51.98,102.24
ATG12,Endogenous,,47.71,15.12,138.33,55.39,,115.2,28.86,47.12,26.54,15.12,31.06,18.1,34.65,26.73,81.49,38.61,37.64,23.39,26.71,34.49,57.36,38.25,37.11,51.54,68.43,50.2,20.34,34.07,41.82,21.21,51.36,82.86,95.54,32.62,24.49,30.52,43.25,57.44,37.06,31.12,72.92,84.1,45.28,138.33,36.64,109.73,35.13,53.18,53.54,40.86,46.88,34.65,46.54
ATG16L1,Endogenous,,208.08,129.88,393.16,23.21,,184.32,155.46,201.03,272,263.97,146.85,269.2,275.94,217.97,182.94,229.6,233.36,223.97,155.09,183.07,178.19,198.2,218.97,208.49,279.56,172.61,197.06,243.77,149.36,238.56,181.75,155.72,194.75,162.47,129.88,202.93,265.15,206.79,169.04,173.75,175.54,205.89,235.16,393.16,170.97,231.66,187.39,135,235.59,227.4,165.88,251.23,251.03
ATG5,Endogenous,,292.14,115.2,911.97,43.62,,115.2,409.59,263.85,374.35,333.74,273.93,151.57,211.59,911.97,151.34,128.01,267.23,277.94,281.74,198.99,159.88,187.76,555.64,292.82,358.84,389.24,218.67,285.47,304.7,212.06,327.94,221.44,363.77,349.1,199.08,173.94,299.8,257.05,430.51,293.9,278.17,180.76,280.44,425.92,293.09,421.51,316.21,225.01,306.98,252.27,299.3,294.54,215.93
ATG7,Endogenous,,160.35,46.08,260.19,26.48,,46.08,110.77,216.73,169.64,189.54,212.75,183.24,128.69,137.09,191.25,140.2,154.32,185.29,135.27,144.16,152.56,177.33,127.25,131.19,226.15,118.89,186.89,193.84,77.67,172.3,162,187.15,121.26,88.18,152.24,170.89,134.42,137.86,106.59,260.19,170.14,175.92,151.29,167.46,195.39,245.59,152.25,241.37,149.92,142.13,133.42,142.94,199.14
ATM,Endogenous,,26.43,8.75,152.89,90.66,,69.12,13.96,15.71,24.64,10.47,20.71,31.67,33.41,13.71,23.28,24.38,30.11,10.79,9.48,14.15,24.41,24.34,13.78,21.08,14.19,17.61,10.17,14.1,77.67,23.86,15.8,27.14,55.12,13.29,18.1,27.46,10.57,24.41,13.74,27.66,13.5,16.43,8.75,152.89,36.64,31.35,58.56,40.91,10.71,30.2,10.82,21.66,16.02
AXL,Endogenous,,1182.92,262.67,3051.15,64.4,,1151.98,2437.96,1027.13,1118.31,1431.46,1237.88,656.03,749.85,558.29,334.27,491.72,1001.17,1069.47,1419.03,262.67,798.2,865.8,1888.01,618.44,470.67,884.16,1595.52,914.57,394.31,1182.21,2738.12,1325.79,444.61,974.84,3051.15,2381.71,344.04,881,444.67,1040.76,1239.6,608.97,573.24,527.85,2998.09,1633.78,878.37,2029.15,3016.28,1177.87,389.46,1182.49,2339.37
BAGE,Endogenous,,31.42,2.21,283.95,138.64,,92.16,13.03,28.27,18.95,11.63,4.71,11.31,18.56,7.54,14.97,26.41,18.82,17.09,34.46,25.65,17.09,17.39,3.71,23.43,30.04,24.66,5.09,8.22,77.67,31.81,35.56,38.57,25.72,12.68,5.32,25.94,2.21,7.18,5.83,10.37,29.71,47.36,3.6,283.95,18.32,71.41,105.4,28.64,21.42,39.08,54.09,47.65,5.34
BATF,Endogenous,,40.35,8.46,117.12,63.5,,46.08,23.27,62.82,18.95,26.75,38.6,29.41,23.51,25.7,36.59,24.38,37.64,22.49,13.79,15.92,23.19,48.68,76.88,28.11,30.88,10.57,21.61,31.72,83.64,45.06,47.41,38.57,58.79,8.46,13.84,48.82,9.34,40.21,27.06,73.48,48.61,13.53,28.3,47.32,103.8,48.77,117.12,94.09,24.99,30.2,90.15,56.31,21.36
BAX,Endogenous,,888.26,379.88,1767.73,38.19,,437.75,1767.73,615.65,618.86,430.25,945.12,852.84,588.99,1325.64,420.75,556.74,677.48,468.62,773.7,700.44,1066.71,705.85,1265.56,527.08,853.71,941.4,1073,701.34,555.62,612.31,1592.3,1280.08,970.06,1191.06,838.91,1542.54,1066.27,884.59,749.44,905.05,961.43,379.88,623.15,553.33,1471.57,1050.29,1100.89,642.29,1495.65,827.89,1150.34,922.6,953.75
BCL10,Endogenous,,312.19,116.41,760.3,43.28,,760.3,193.62,254.43,251.15,226.75,453.73,257.89,267.27,187.12,116.41,640.05,289.81,285.13,211.09,247.63,285.59,274.69,456.49,152.27,413.08,413.02,245.37,294.28,203.13,294.23,264.72,414.31,191.07,203.54,251.25,419.58,256.55,243.4,205.26,323.29,599.55,167.22,478.55,149.25,323.62,435.44,433.33,208.64,485.46,214.97,295.7,476.46,269.34
BCL2,Endogenous,,367.61,89.6,3387.86,130.08,,506.87,163.83,468.02,425.53,447.7,254.17,377.78,1138.39,115.84,419.09,176.77,361.33,202.38,271.4,288.31,339.3,403.34,89.6,456.81,140.2,96.87,282.24,157.42,161.31,554,320.04,378.59,3387.86,451.18,286.38,215.13,351.9,239.81,110.33,330.21,232.26,279.35,161.58,145.61,519.02,337.9,386.48,212.73,164.2,115.48,241.61,173.26,305.96
BCL2L1,Endogenous,,1162.75,414.71,5528.6,64.58,,414.71,1307.88,1300.4,509.87,950.04,1004.43,895.82,699.12,1037.41,525.52,597.38,1712.53,620.64,1599.1,555.4,922.69,5528.6,1144.68,609.07,928.82,665.76,1853.6,1496.67,1200.86,1752.11,1070.75,991.49,911.27,1050.33,1053.96,1621.88,917.59,1364.22,567.49,1316.51,1261.21,538.41,879.41,1419.74,1312.81,811.66,1229.72,1223.22,2084.62,1426.6,912.33,939.93,1073.54
BCL6,Endogenous,,380.92,82.94,1158.29,62.26,,253.43,534.32,273.27,336.44,555.84,532.81,142.52,352.65,82.94,377.51,384.03,526.93,192.49,236.07,742.01,103.74,601.54,152.69,777.74,167.74,281.8,985.28,279.6,298.72,596.41,304.24,238.59,132.28,352.12,1158.29,823.91,158.26,428.65,233.99,364.78,848.01,215.56,197.6,182.02,384.68,269.97,339.64,306.83,439.06,227.4,212.76,394.16,302.91
BID,Endogenous,,28.06,3.67,115.2,71.37,,115.2,14.89,25.13,7.58,16.28,13.18,49.77,22.27,18.16,63.2,16.26,33.87,13.49,7.75,7.08,37.84,31.29,20.68,18.74,12.52,14.09,12.71,15.86,47.8,23.86,27.66,15.72,3.67,9.06,31.94,35.09,12.29,24.41,17.49,24.2,35.11,63.8,25.21,54.61,42.74,34.84,58.56,49.09,17.85,24.87,28.85,38.98,11.45
BIRC5,Endogenous,,238.07,22.27,1385.75,115.51,,760.3,210.38,65.96,242.62,98.84,358.66,178.71,22.27,88.08,111.42,1385.75,60.22,161.9,197.3,91.09,175.75,180.81,722.65,100.73,207.79,354.02,142.39,73.42,113.51,66.27,335.84,37.15,102.89,92.41,103.27,161.73,27.28,729.5,520.44,53.59,91.82,84.1,1032.75,80.09,195.39,85.35,105.4,69.55,92.81,124.36,299.3,476.46,354.8
